,gene1,gene2,result
0,G:HGNC:15997,G:HGNC:9226,"Meta path:['GMDMG'], rank is 151 and total rank is 2624"
1,G:HGNC:9304,G:HGNC:9322,"Meta path:['GTG'], rank is 18 and total rank is 541"
2,G:HGNC:9288,G:HGNC:30695,"Meta path:['GMDMG'], rank is 348 and total rank is 5996"
3,G:HGNC:26307,G:HGNC:4879,"Meta path:['GTG'], rank is 149 and total rank is 409"
4,G:HGNC:4627,G:HGNC:7063,"Meta path:['GPdPG'], rank is 2 and total rank is 18"
5,G:HGNC:9314,G:HGNC:15566,"Meta path:['GTG'], rank is 125 and total rank is 578"
6,G:HGNC:20785,G:HGNC:15566,"Meta path:['GTG'], rank is 11 and total rank is 341"
7,G:HGNC:24550,G:HGNC:26933,"Meta path:['GTG'], rank is 62 and total rank is 326"
8,G:HGNC:9061,G:HGNC:9065,"Meta path:['GTG'], rank is 78 and total rank is 522"
9,G:HGNC:20785,G:HGNC:9314,"Meta path:['GTG'], rank is 282 and total rank is 482"
10,G:HGNC:7455,G:HGNC:7707,"Meta path:['GDG'], rank is 10 and total rank is 13"
11,G:HGNC:9726,G:HGNC:9725,"Meta path:['GPdPG', 'GTG'], rank is 1 and total rank is 162"
12,G:HGNC:8592,G:HGNC:18133,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
13,G:HGNC:13538,G:HGNC:9410,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
14,G:HGNC:3655,G:HGNC:6190,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
15,G:HGNC:22140,G:HGNC:8590,"Meta path:['GTG'], rank is 409 and total rank is 729"
16,G:HGNC:16381,G:HGNC:9305,"Meta path:['GTG'], rank is 115 and total rank is 323"
17,G:HGNC:11408,G:HGNC:9412,"Meta path:['GTG'], rank is 248 and total rank is 864"
18,G:HGNC:13397,G:HGNC:24376,"Meta path:['GTG'], rank is 1 and total rank is 381"
19,G:HGNC:9137,G:HGNC:17035,"Meta path:['GTG'], rank is 2 and total rank is 549"
20,G:HGNC:25996,G:HGNC:24678,"Meta path:['GTG'], rank is 31 and total rank is 408"
21,G:HGNC:29958,G:HGNC:22960,"Meta path:['GTG'], rank is 13 and total rank is 265"
22,G:HGNC:29149,G:HGNC:9307,"Meta path:['GTG'], rank is 61 and total rank is 392"
23,G:HGNC:9416,G:HGNC:13480,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
24,G:HGNC:9316,G:HGNC:9303,"Meta path:['GTG'], rank is 53 and total rank is 382"
25,G:HGNC:16890,G:HGNC:9314,"Meta path:['GTG'], rank is 355 and total rank is 539"
26,G:HGNC:9304,G:HGNC:9305,"Meta path:['GTG'], rank is 5 and total rank is 376"
27,G:HGNC:1374,G:HGNC:1375,"Meta path:['GPdPG'], rank is 3 and total rank is 67"
28,G:HGNC:19662,G:HGNC:7063,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
29,G:HGNC:6190,G:HGNC:9618,"Meta path:['GTG'], rank is 180 and total rank is 547"
30,G:HGNC:19342,G:HGNC:17827,"Meta path:['GTG'], rank is 3 and total rank is 246"
31,G:HGNC:9276,G:HGNC:9315,"Meta path:['GTG'], rank is 171 and total rank is 538"
32,G:HGNC:9304,G:HGNC:15566,"Meta path:['GTG'], rank is 27 and total rank is 414"
33,G:HGNC:3386,G:HGNC:9618,"Meta path:['GTG', 'GMG', 'GMDMG', 'GMDpDMG'], rank is 46 and total rank is 6865"
34,G:HGNC:9381,G:HGNC:9407,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
35,G:HGNC:6190,G:HGNC:6524,"Meta path:['GPdPG'], rank is 34 and total rank is 56"
36,G:HGNC:20785,G:HGNC:9319,"Meta path:['GTG'], rank is 49 and total rank is 346"
37,G:HGNC:9278,G:HGNC:9302,"Meta path:['GTG'], rank is 93 and total rank is 585"
38,G:HGNC:1464,G:HGNC:1469,"Meta path:['GTG'], rank is 41 and total rank is 525"
39,G:HGNC:9381,G:HGNC:1985,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
40,G:HGNC:28110,G:HGNC:9315,"Meta path:['GTG'], rank is 180 and total rank is 516"
41,G:HGNC:3284,G:HGNC:28883,"Meta path:['GMDpDMG'], rank is 2466 and total rank is 5334"
42,G:HGNC:393,G:HGNC:9403,"Meta path:['GTG'], rank is 38 and total rank is 571"
43,G:HGNC:30040,G:HGNC:27396,"Meta path:['GTG'], rank is 12 and total rank is 355"
44,G:HGNC:9036,G:HGNC:17825,"Meta path:['GTG'], rank is 31 and total rank is 416"
45,G:HGNC:9322,G:HGNC:30695,"Meta path:['GTG'], rank is 176 and total rank is 501"
46,G:HGNC:4706,G:HGNC:4707,"Meta path:['GTG'], rank is 2 and total rank is 348"
47,G:HGNC:22140,G:HGNC:6863,"Meta path:['GTG'], rank is 119 and total rank is 499"
48,G:HGNC:11378,G:HGNC:24592,"Meta path:['GTG'], rank is 8 and total rank is 384"
49,G:HGNC:8957,G:HGNC:8960,"Meta path:['GTG'], rank is 6 and total rank is 275"
50,G:HGNC:315,G:HGNC:30599,"Meta path:['GTG'], rank is 233 and total rank is 357"
51,G:HGNC:24867,G:HGNC:28135,"Meta path:['GTG'], rank is 100 and total rank is 404"
52,G:HGNC:3999,G:HGNC:14347,"Meta path:['GTG'], rank is 273 and total rank is 495"
53,G:HGNC:23074,G:HGNC:6343,"Meta path:['GTG'], rank is 310 and total rank is 468"
54,G:HGNC:4856,G:HGNC:17879,"Meta path:['GTG'], rank is 161 and total rank is 380"
55,G:HGNC:1925,G:HGNC:12483,"Meta path:['GTG'], rank is 336 and total rank is 633"
56,G:HGNC:25430,G:HGNC:26430,"Meta path:['GTG'], rank is 39 and total rank is 315"
57,G:HGNC:16654,G:HGNC:962,"Meta path:['GMDpDMG'], rank is 4272 and total rank is 4740"
58,G:HGNC:904,G:HGNC:29602,"Meta path:['GTG'], rank is 232 and total rank is 569"
59,G:HGNC:3272,G:HGNC:10820,"Meta path:['GTG'], rank is 68 and total rank is 354"
60,G:HGNC:28773,G:HGNC:20714,"Meta path:['GTG'], rank is 94 and total rank is 299"
61,G:HGNC:2338,G:HGNC:11995,"Meta path:['GTG'], rank is 113 and total rank is 326"
62,G:HGNC:23616,G:HGNC:28255,"Meta path:['GMDMG'], rank is 920 and total rank is 2448"
63,G:HGNC:10628,G:HGNC:6128,"Meta path:['GMDMG'], rank is 2351 and total rank is 2808"
64,G:HGNC:18160,G:HGNC:23504,"Meta path:['GMDpDMG'], rank is 908 and total rank is 3942"
65,G:HGNC:3036,G:HGNC:19300,"Meta path:['GMG'], rank is 23 and total rank is 316"
66,G:HGNC:13764,G:HGNC:15899,"Meta path:['GTG'], rank is 105 and total rank is 353"
67,G:HGNC:15749,G:HGNC:9548,"Meta path:['GTG'], rank is 419 and total rank is 622"
68,G:HGNC:30278,G:HGNC:3315,"Meta path:['GMDMG'], rank is 916 and total rank is 2641"
69,G:HGNC:19246,G:HGNC:5144,"Meta path:['GTG'], rank is 306 and total rank is 495"
70,G:HGNC:1554,G:HGNC:23368,"Meta path:['GTG'], rank is 256 and total rank is 505"
71,G:HGNC:28119,G:HGNC:31909,"Meta path:['GTG'], rank is 107 and total rank is 334"
72,G:HGNC:13076,G:HGNC:17185,"Meta path:['GTG'], rank is 104 and total rank is 365"
73,G:HGNC:16229,G:HGNC:18808,"Meta path:['GTG'], rank is 70 and total rank is 309"
74,G:HGNC:31332,G:HGNC:30034,"Meta path:['GMG'], rank is 240 and total rank is 589"
75,G:HGNC:17224,G:HGNC:6616,"Meta path:['GTG'], rank is 293 and total rank is 500"
76,G:HGNC:10313,G:HGNC:27984,"Meta path:['GMDpDMG'], rank is 2713 and total rank is 5204"
77,G:HGNC:16938,G:HGNC:26594,"Meta path:['GMDpDMG'], rank is 72 and total rank is 4218"
78,G:HGNC:1578,G:HGNC:53085,"Meta path:['GTG'], rank is 348 and total rank is 483"
79,G:HGNC:26378,G:HGNC:18703,"Meta path:['GTG'], rank is 33 and total rank is 277"
80,G:HGNC:25605,G:HGNC:26472,"Meta path:['GTG'], rank is 12 and total rank is 250"
81,G:HGNC:24764,G:HGNC:20038,"Meta path:['GMG'], rank is 581 and total rank is 1062"
82,G:HGNC:32179,G:HGNC:28982,"Meta path:['GTG'], rank is 5 and total rank is 297"
83,G:HGNC:24819,G:HGNC:6058,"Meta path:['GTG'], rank is 243 and total rank is 452"
