,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9402,G:HGNC:8591,['GPdPG'],3.0,0.932,44.0,1
1,G:HGNC:9402,G:HGNC:8591,['GTG'],48.0,0.931,696.0,1
2,G:HGNC:9402,G:HGNC:8591,"['GPdPG', 'GTG']",83.0,0.81,436.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9402,G:HGNC:8591,['GPdPG'],3.0,0.932,44.0,1
1,G:HGNC:9402,G:HGNC:8591,['GTG'],48.0,0.931,696.0,1
2,G:HGNC:9402,G:HGNC:8591,"['GPdPG', 'GTG']",83.0,0.81,436.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9322,G:HGNC:15566,['GTG'],49.0,0.913,566.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
6,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDpDMG']",5.0,1.0,11860.0,1
5,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG']",8.0,0.999,13415.0,1
0,G:HGNC:854,G:HGNC:16832,['GTG'],9.0,0.98,461.0,1
12,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG', 'GMDpDMG']",19.0,0.999,14097.0,1
10,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG']",163.0,0.977,7058.0,1
4,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG']",164.0,0.954,3580.0,1
11,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDpDMG']",171.0,0.974,6665.0,1
14,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",279.0,0.959,6727.0,1
1,G:HGNC:854,G:HGNC:16832,['GMG'],657.0,0.285,919.0,1
2,G:HGNC:854,G:HGNC:16832,['GMDMG'],1812.0,0.67,5484.0,1
8,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDpDMG']",2271.0,0.692,7375.0,1
13,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG', 'GMDpDMG']",2274.0,0.708,7784.0,1
7,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG']",2409.0,0.698,7973.0,1
3,G:HGNC:854,G:HGNC:16832,['GMDpDMG'],2669.0,0.579,6346.0,1
9,G:HGNC:854,G:HGNC:16832,"['GMDMG', 'GMDpDMG']",3798.0,0.71,13101.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:17927,G:HGNC:28407,['GTG'],15.0,0.964,419.0,1
1,G:HGNC:17927,G:HGNC:28407,['GMG'],715.0,0.176,868.0,1
3,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMG']",1138.0,0.666,3406.0,1
4,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMDMG']",2262.0,0.743,8798.0,1
2,G:HGNC:17927,G:HGNC:28407,['GMDMG'],2550.0,0.241,3361.0,1
6,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMG', 'GMDMG']",3297.0,0.441,5896.0,1
5,G:HGNC:17927,G:HGNC:28407,"['GMG', 'GMDMG']",5589.0,0.147,6552.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9402,G:HGNC:8591,['GPdPG'],3.0,0.932,44.0,1
1,G:HGNC:9402,G:HGNC:8591,['GTG'],48.0,0.931,696.0,1
2,G:HGNC:9402,G:HGNC:8591,"['GPdPG', 'GTG']",83.0,0.81,436.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9402,G:HGNC:8591,['GPdPG'],3.0,0.932,44.0,1
1,G:HGNC:9402,G:HGNC:8591,['GTG'],48.0,0.931,696.0,1
2,G:HGNC:9402,G:HGNC:8591,"['GPdPG', 'GTG']",83.0,0.81,436.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9322,G:HGNC:15566,['GTG'],49.0,0.913,566.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
6,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDpDMG']",5.0,1.0,11861.0,1
5,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG']",8.0,0.999,13414.0,1
0,G:HGNC:854,G:HGNC:16832,['GTG'],9.0,0.98,461.0,1
12,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG', 'GMDpDMG']",19.0,0.999,14098.0,1
10,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG']",163.0,0.977,7059.0,1
4,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG']",164.0,0.954,3579.0,1
11,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDpDMG']",171.0,0.974,6666.0,1
14,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",279.0,0.959,6728.0,1
1,G:HGNC:854,G:HGNC:16832,['GMG'],657.0,0.285,919.0,1
2,G:HGNC:854,G:HGNC:16832,['GMDMG'],1812.0,0.67,5484.0,1
8,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDpDMG']",2271.0,0.692,7374.0,1
13,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG', 'GMDpDMG']",2274.0,0.708,7783.0,1
7,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG']",2408.0,0.698,7972.0,1
3,G:HGNC:854,G:HGNC:16832,['GMDpDMG'],2668.0,0.58,6346.0,1
9,G:HGNC:854,G:HGNC:16832,"['GMDMG', 'GMDpDMG']",3798.0,0.71,13098.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:17927,G:HGNC:28407,['GTG'],15.0,0.964,419.0,1
1,G:HGNC:17927,G:HGNC:28407,['GMG'],715.0,0.176,868.0,1
3,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMG']",1136.0,0.666,3404.0,1
4,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMDMG']",2261.0,0.743,8800.0,1
2,G:HGNC:17927,G:HGNC:28407,['GMDMG'],2551.0,0.241,3362.0,1
6,G:HGNC:17927,G:HGNC:28407,"['GTG', 'GMG', 'GMDMG']",3297.0,0.441,5895.0,1
5,G:HGNC:17927,G:HGNC:28407,"['GMG', 'GMDMG']",5589.0,0.147,6551.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
62,G:HGNC:851,G:HGNC:857,"['GDpDG', 'GDpDpDG', 'GTG', 'GMG', 'GMDMG', 'GMDpDMG']",1.0,0.998,502.0,1
26,G:HGNC:851,G:HGNC:857,"['GDpDG', 'GTG', 'GMDMG']",1.0,0.999,1552.0,1
27,G:HGNC:851,G:HGNC:857,"['GDpDG', 'GTG', 'GMDpDMG']",1.0,0.999,1368.0,1
16,G:HGNC:851,G:HGNC:857,"['GTG', 'GMDMG']",1.0,1.0,9742.0,1
32,G:HGNC:851,G:HGNC:857,"['GDpDpDG', 'GTG', 'GMDMG']",1.0,1.0,3109.0,1
