,gene1,gene2,label,meta_path,rank_percent
0,G:HGNC:16890,G:HGNC:9305,1,['GTG'],0.559
1,G:HGNC:6524,G:HGNC:10481,1,['GTG'],0.736
2,G:HGNC:4635,G:HGNC:33437,1,['GMDpDMG'],0.999
3,G:HGNC:28112,G:HGNC:9137,1,['GTG'],0.995
4,G:HGNC:2279,G:HGNC:2267,1,['GTG'],0.956
5,G:HGNC:9402,G:HGNC:8591,1,['GPdPG'],0.932
6,G:HGNC:14451,G:HGNC:14450,1,"['GTG', 'GMG']",0.999
7,G:HGNC:7462,G:HGNC:7459,1,"['GDpDG', 'GDpDpDG']",0.996
8,G:HGNC:4632,G:HGNC:33437,1,['GTG'],0.956
9,G:HGNC:8590,G:HGNC:392,1,"['GTG', 'GMDpDMG']",0.999
10,G:HGNC:1133,G:HGNC:9611,1,"['GTG', 'GMDpDMG']",0.979
11,G:HGNC:16381,G:HGNC:9286,1,['GMG'],0.084
12,G:HGNC:9410,G:HGNC:10251,1,['GTG'],0.731
13,G:HGNC:830,G:HGNC:857,1,['GTG'],0.759
14,G:HGNC:393,G:HGNC:1985,1,"['GTG', 'GMDpDMG']",0.99
15,G:HGNC:22140,G:HGNC:9441,1,['GMDpDMG'],0.695
16,G:HGNC:16381,G:HGNC:9275,1,"['GMDMG', 'GMDpDMG']",0.96
17,G:HGNC:24978,G:HGNC:30252,1,"['GMDMG', 'GMDpDMG']",0.934
18,G:HGNC:17827,G:HGNC:19343,1,"['GTG', 'GMG']",0.994
19,G:HGNC:8777,G:HGNC:8784,1,"['GPdPG', 'GTG', 'GMG']",0.961
20,G:HGNC:9029,G:HGNC:18555,1,['GTG'],0.925
21,G:HGNC:12020,G:HGNC:12021,1,"['GTG', 'GMDMG']",1.0
22,G:HGNC:10481,G:HGNC:3393,1,"['GTG', 'GMDMG']",0.999
23,G:HGNC:7455,G:HGNC:7707,1,"['GDpDG', 'GDpDpDG']",0.994
24,G:HGNC:11781,G:HGNC:16255,1,['GTG'],0.988
25,G:HGNC:29037,G:HGNC:19218,1,['GTG'],0.927
26,G:HGNC:7047,G:HGNC:7048,1,['GTG'],0.989
27,G:HGNC:1165,G:HGNC:28923,1,['GTG'],0.996
28,G:HGNC:16381,G:HGNC:18583,1,"['GTG', 'GMDpDMG']",0.991
29,G:HGNC:251,G:HGNC:252,1,['GTG'],0.977
30,G:HGNC:393,G:HGNC:9441,1,"['GTG', 'GMDMG']",0.995
31,G:HGNC:9407,G:HGNC:9380,1,['GTG'],0.675
32,G:HGNC:409,G:HGNC:410,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.994
33,G:HGNC:9031,G:HGNC:13414,1,['GTG'],0.987
34,G:HGNC:1118,G:HGNC:1667,1,['GTG'],0.998
35,G:HGNC:757,G:HGNC:17113,1,['GMDpDMG'],0.587
36,G:HGNC:9322,G:HGNC:25415,1,['GTG'],0.767
37,G:HGNC:9381,G:HGNC:11399,1,['GPdPG'],0.947
38,G:HGNC:9173,G:HGNC:9186,1,['GTG'],0.795
39,G:HGNC:9381,G:HGNC:11408,1,"['GTG', 'GMDMG']",0.986
40,G:HGNC:9316,G:HGNC:9322,1,['GTG'],0.699
41,G:HGNC:9402,G:HGNC:9410,1,"['GPdPG', 'GTG']",0.959
42,G:HGNC:29958,G:HGNC:19978,1,"['GTG', 'GMG']",0.921
43,G:HGNC:4637,G:HGNC:4629,1,['GTG'],0.997
44,G:HGNC:13816,G:HGNC:820,1,['GTG'],0.987
45,G:HGNC:3655,G:HGNC:2444,1,['GTG'],0.872
46,G:HGNC:4131,G:HGNC:4130,1,['GTG'],0.982
47,G:HGNC:9407,G:HGNC:9416,1,['GPdPG'],0.963
48,G:HGNC:1368,G:HGNC:1373,1,"['GTG', 'GMG']",0.977
49,G:HGNC:7455,G:HGNC:7717,1,"['GDpDG', 'GTG']",0.986
50,G:HGNC:1970,G:HGNC:1972,1,['GTG'],0.985
51,G:HGNC:1459,G:HGNC:1463,1,['GTG'],0.917
52,G:HGNC:17016,G:HGNC:17933,1,['GTG'],0.976
53,G:HGNC:9276,G:HGNC:9314,1,['GTG'],0.665
54,G:HGNC:16890,G:HGNC:9288,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.704
55,G:HGNC:11503,G:HGNC:8108,1,"['GTG', 'GMDpDMG']",0.991
56,G:HGNC:2288,G:HGNC:2294,1,['GTG'],0.845
57,G:HGNC:19662,G:HGNC:7061,1,['GPdPG'],0.917
58,G:HGNC:9306,G:HGNC:9317,1,['GTG'],0.781
59,G:HGNC:9299,G:HGNC:9317,1,"['GTG', 'GMDMG']",0.891
60,G:HGNC:6863,G:HGNC:392,1,['GTG'],0.567
61,G:HGNC:9407,G:HGNC:30045,1,['GTG'],0.744
62,G:HGNC:9302,G:HGNC:9314,1,"['GDpDpDG', 'GTG', 'GMDpDMG']",0.998
63,G:HGNC:18080,G:HGNC:14269,1,['GTG'],0.928
64,G:HGNC:4131,G:HGNC:4124,1,['GTG'],0.944
65,G:HGNC:255,G:HGNC:250,1,['GTG'],0.986
66,G:HGNC:24592,G:HGNC:17885,1,['GTG'],0.997
