,gene1,gene2,result
0,G:HGNC:16890,G:HGNC:9305,"Meta path:['GTG'], rank is 149 and total rank is 338"
1,G:HGNC:6524,G:HGNC:10481,"Meta path:['GTG'], rank is 170 and total rank is 644"
2,G:HGNC:4635,G:HGNC:33437,"Meta path:['GMDpDMG'], rank is 4 and total rank is 3738"
3,G:HGNC:28112,G:HGNC:9137,"Meta path:['GTG'], rank is 3 and total rank is 549"
4,G:HGNC:2279,G:HGNC:2267,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
5,G:HGNC:9402,G:HGNC:8591,"Meta path:['GPdPG'], rank is 3 and total rank is 44"
6,G:HGNC:14451,G:HGNC:14450,"Meta path:['GTG'], rank is 1 and total rank is 313"
7,G:HGNC:7462,G:HGNC:7459,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
8,G:HGNC:4632,G:HGNC:33437,"Meta path:['GTG'], rank is 13 and total rank is 295"
9,G:HGNC:8590,G:HGNC:392,"Meta path:['GTG', 'GMDpDMG'], rank is 19 and total rank is 13440"
10,G:HGNC:1133,G:HGNC:9611,"Meta path:['GPdPG'], rank is 10 and total rank is 41"
11,G:HGNC:16381,G:HGNC:9286,"Meta path:['GMG'], rank is 1205 and total rank is 1315"
12,G:HGNC:9410,G:HGNC:10251,"Meta path:['GTG'], rank is 202 and total rank is 752"
13,G:HGNC:830,G:HGNC:857,"Meta path:['GTG'], rank is 116 and total rank is 481"
14,G:HGNC:393,G:HGNC:1985,"Meta path:['GTG'], rank is 77 and total rank is 573"
15,G:HGNC:22140,G:HGNC:9441,"Meta path:['GTG'], rank is 223 and total rank is 475"
16,G:HGNC:16381,G:HGNC:9275,"Meta path:['GTG'], rank is 110 and total rank is 460"
17,G:HGNC:24978,G:HGNC:30252,"Meta path:['GMDMG'], rank is 261 and total rank is 2406"
18,G:HGNC:17827,G:HGNC:19343,"Meta path:['GTG', 'GMG'], rank is 6 and total rank is 1012"
19,G:HGNC:8777,G:HGNC:8784,"Meta path:['GPdPG', 'GTG', 'GMG'], rank is 3 and total rank is 77"
20,G:HGNC:9029,G:HGNC:18555,"Meta path:['GTG'], rank is 22 and total rank is 294"
21,G:HGNC:12020,G:HGNC:12021,"Meta path:['GTG'], rank is 1 and total rank is 257"
22,G:HGNC:10481,G:HGNC:3393,"Meta path:['GTG', 'GMDMG'], rank is 17 and total rank is 12101"
23,G:HGNC:7455,G:HGNC:7707,"Meta path:['GDG'], rank is 10 and total rank is 13"
24,G:HGNC:11781,G:HGNC:16255,"Meta path:['GTG'], rank is 3 and total rank is 256"
25,G:HGNC:29037,G:HGNC:19218,"Meta path:['GTG'], rank is 27 and total rank is 371"
26,G:HGNC:7047,G:HGNC:7048,"Meta path:['GTG'], rank is 3 and total rank is 267"
27,G:HGNC:1165,G:HGNC:28923,"Meta path:['GTG'], rank is 1 and total rank is 277"
28,G:HGNC:16381,G:HGNC:18583,"Meta path:['GTG'], rank is 18 and total rank is 298"
29,G:HGNC:251,G:HGNC:252,"Meta path:['GPdPG', 'GTG'], rank is 5 and total rank is 125"
30,G:HGNC:393,G:HGNC:9441,"Meta path:['GTG'], rank is 66 and total rank is 525"
31,G:HGNC:9407,G:HGNC:9380,"Meta path:['GPdPG'], rank is 34 and total rank is 64"
32,G:HGNC:409,G:HGNC:410,"Meta path:['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG'], rank is 2 and total rank is 127"
33,G:HGNC:9031,G:HGNC:13414,"Meta path:['GPdPG', 'GTG'], rank is 1 and total rank is 49"
34,G:HGNC:1118,G:HGNC:1667,"Meta path:['GTG'], rank is 1 and total rank is 447"
35,G:HGNC:757,G:HGNC:17113,"Meta path:['GTG'], rank is 248 and total rank is 462"
36,G:HGNC:9322,G:HGNC:25415,"Meta path:['GTG'], rank is 125 and total rank is 536"
37,G:HGNC:9381,G:HGNC:11399,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
38,G:HGNC:9173,G:HGNC:9186,"Meta path:['GTG'], rank is 117 and total rank is 571"
39,G:HGNC:9381,G:HGNC:11408,"Meta path:['GTG'], rank is 128 and total rank is 704"
40,G:HGNC:9316,G:HGNC:9322,"Meta path:['GTG'], rank is 162 and total rank is 538"
41,G:HGNC:9402,G:HGNC:9410,"Meta path:['GPdPG'], rank is 3 and total rank is 60"
42,G:HGNC:29958,G:HGNC:19978,"Meta path:['GTG'], rank is 25 and total rank is 186"
43,G:HGNC:4637,G:HGNC:4629,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
44,G:HGNC:13816,G:HGNC:820,"Meta path:['GTG'], rank is 4 and total rank is 306"
45,G:HGNC:3655,G:HGNC:2444,"Meta path:['GPdPG'], rank is 6 and total rank is 46"
46,G:HGNC:4131,G:HGNC:4130,"Meta path:['GTG'], rank is 4 and total rank is 225"
47,G:HGNC:9407,G:HGNC:9416,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
48,G:HGNC:1368,G:HGNC:1373,"Meta path:['GPdPG', 'GMG'], rank is 2 and total rank is 31"
49,G:HGNC:7455,G:HGNC:7717,"Meta path:['GDG'], rank is 8 and total rank is 12"
50,G:HGNC:1970,G:HGNC:1972,"Meta path:['GTG'], rank is 4 and total rank is 261"
51,G:HGNC:1459,G:HGNC:1463,"Meta path:['GPdPG'], rank is 5 and total rank is 42"
52,G:HGNC:17016,G:HGNC:17933,"Meta path:['GTG'], rank is 14 and total rank is 579"
53,G:HGNC:9276,G:HGNC:9314,"Meta path:['GTG'], rank is 186 and total rank is 555"
54,G:HGNC:16890,G:HGNC:9288,"Meta path:['GTG'], rank is 110 and total rank is 336"
55,G:HGNC:11503,G:HGNC:8108,"Meta path:['GTG'], rank is 54 and total rank is 509"
56,G:HGNC:2288,G:HGNC:2294,"Meta path:['GTG'], rank is 38 and total rank is 245"
57,G:HGNC:19662,G:HGNC:7061,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
58,G:HGNC:9306,G:HGNC:9317,"Meta path:['GTG'], rank is 85 and total rank is 388"
59,G:HGNC:9299,G:HGNC:9317,"Meta path:['GTG'], rank is 159 and total rank is 525"
60,G:HGNC:6863,G:HGNC:392,"Meta path:['GTG'], rank is 280 and total rank is 647"
61,G:HGNC:9407,G:HGNC:30045,"Meta path:['GTG'], rank is 183 and total rank is 714"
62,G:HGNC:9302,G:HGNC:9314,"Meta path:['GDpDG', 'GDpDpDG', 'GTG', 'GMDpDMG'], rank is 4 and total rank is 1036"
63,G:HGNC:18080,G:HGNC:14269,"Meta path:['GTG'], rank is 16 and total rank is 221"
64,G:HGNC:4131,G:HGNC:4124,"Meta path:['GTG'], rank is 20 and total rank is 355"
65,G:HGNC:255,G:HGNC:250,"Meta path:['GTG'], rank is 4 and total rank is 279"
66,G:HGNC:24592,G:HGNC:17885,"Meta path:['GTG'], rank is 1 and total rank is 398"
67,G:HGNC:9304,G:HGNC:18583,"Meta path:['GTG'], rank is 30 and total rank is 366"
68,G:HGNC:13480,G:HGNC:8591,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
69,G:HGNC:9402,G:HGNC:392,"Meta path:['GTG'], rank is 156 and total rank is 626"
70,G:HGNC:13538,G:HGNC:9412,"Meta path:['GTG'], rank is 162 and total rank is 784"
71,G:HGNC:9304,G:HGNC:9319,"Meta path:['GTG'], rank is 30 and total rank is 414"
72,G:HGNC:13536,G:HGNC:3706,"Meta path:['GTG'], rank is 24 and total rank is 415"
73,G:HGNC:7849,G:HGNC:7850,"Meta path:['GTG'], rank is 1 and total rank is 647"
74,G:HGNC:393,G:HGNC:8590,"Meta path:['GTG', 'GMG', 'GMDMG', 'GMDpDMG'], rank is 187 and total rank is 7678"
75,G:HGNC:1970,G:HGNC:1973,"Meta path:['GTG'], rank is 1 and total rank is 249"
76,G:HGNC:2265,G:HGNC:2287,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
77,G:HGNC:5194,G:HGNC:5196,"Meta path:['GTG', 'GMDpDMG'], rank is 1 and total rank is 1415"
78,G:HGNC:3655,G:HGNC:12434,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
79,G:HGNC:9278,G:HGNC:30695,"Meta path:['GTG'], rank is 63 and total rank is 381"
80,G:HGNC:9381,G:HGNC:1985,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
81,G:HGNC:393,G:HGNC:30045,"Meta path:['GTG'], rank is 53 and total rank is 558"
82,G:HGNC:6863,G:HGNC:8591,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
83,G:HGNC:2460,G:HGNC:30045,"Meta path:['GTG'], rank is 137 and total rank is 653"
84,G:HGNC:10251,G:HGNC:11408,"Meta path:['GTG'], rank is 261 and total rank is 885"
85,G:HGNC:393,G:HGNC:11408,"Meta path:['GTG'], rank is 90 and total rank is 725"
86,G:HGNC:9276,G:HGNC:9288,"Meta path:['GTG'], rank is 159 and total rank is 374"
87,G:HGNC:8592,G:HGNC:6874,"Meta path:['GTG'], rank is 148 and total rank is 613"
88,G:HGNC:9031,G:HGNC:9038,"Meta path:['GTG'], rank is 4 and total rank is 424"
89,G:HGNC:20785,G:HGNC:19388,"Meta path:['GTG'], rank is 88 and total rank is 356"
90,G:HGNC:9381,G:HGNC:9407,"Meta path:['GPdPG'], rank is 2 and total rank is 38"
91,G:HGNC:2460,G:HGNC:9407,"Meta path:['GTG'], rank is 183 and total rank is 693"
92,G:HGNC:2285,G:HGNC:2267,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
93,G:HGNC:9402,G:HGNC:11399,"Meta path:['GPdPG'], rank is 3 and total rank is 44"
94,G:HGNC:16502,G:HGNC:16083,"Meta path:['GTG'], rank is 3 and total rank is 197"
95,G:HGNC:19875,G:HGNC:4124,"Meta path:['GTG', 'GMG'], rank is 1 and total rank is 1841"
96,G:HGNC:17825,G:HGNC:30038,"Meta path:['GTG'], rank is 23 and total rank is 409"
97,G:HGNC:2265,G:HGNC:2294,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
98,G:HGNC:4123,G:HGNC:23242,"Meta path:['GTG'], rank is 13 and total rank is 319"
99,G:HGNC:19086,G:HGNC:14068,"Meta path:['GPdPG'], rank is 1 and total rank is 7"
100,G:HGNC:32249,G:HGNC:23241,"Meta path:['GMDMG'], rank is 2702 and total rank is 3467"
101,G:HGNC:24522,G:HGNC:19165,"Meta path:['GTG'], rank is 52 and total rank is 243"
102,G:HGNC:20530,G:HGNC:7656,"Meta path:['GTG'], rank is 151 and total rank is 376"
103,G:HGNC:21263,G:HGNC:8522,"Meta path:['GMDMG'], rank is 822 and total rank is 1958"
104,G:HGNC:13944,G:HGNC:1455,"Meta path:['GTG'], rank is 464 and total rank is 694"
105,G:HGNC:22923,G:HGNC:24311,"Meta path:['GTG'], rank is 153 and total rank is 398"
106,G:HGNC:841,G:HGNC:18412,"Meta path:['GTG'], rank is 105 and total rank is 371"
107,G:HGNC:25883,G:HGNC:23761,"Meta path:['GMDMG'], rank is 3242 and total rank is 3957"
108,G:HGNC:21245,G:HGNC:10927,"Meta path:['GMDpDMG'], rank is 106 and total rank is 3980"
109,G:HGNC:25088,G:HGNC:14509,"Meta path:['GTG'], rank is 198 and total rank is 405"
110,G:HGNC:1291,G:HGNC:4757,"Meta path:['GTG'], rank is 133 and total rank is 431"
111,G:HGNC:6211,G:HGNC:24634,"Meta path:['GTG'], rank is 107 and total rank is 427"
112,G:HGNC:20898,G:HGNC:28994,"Meta path:['GMDMG'], rank is 782 and total rank is 6512"
113,G:HGNC:5526,G:HGNC:32793,"Meta path:['GTG'], rank is 153 and total rank is 377"
114,G:HGNC:1112,G:HGNC:33737,"Meta path:['GMDMG'], rank is 1703 and total rank is 2797"
115,G:HGNC:24319,G:HGNC:32574,"Meta path:['GMDMG'], rank is 780 and total rank is 2377"
116,G:HGNC:7622,G:HGNC:1717,"Meta path:['GTG'], rank is 221 and total rank is 556"
117,G:HGNC:19431,G:HGNC:16155,"Meta path:['GMG'], rank is 936 and total rank is 1050"
118,G:HGNC:18069,G:HGNC:14335,"Meta path:['GTG'], rank is 390 and total rank is 510"
119,G:HGNC:19696,G:HGNC:1874,"Meta path:['GMG'], rank is 25 and total rank is 305"
120,G:HGNC:5457,G:HGNC:30293,"Meta path:['GMDMG'], rank is 3041 and total rank is 3689"
121,G:HGNC:19419,G:HGNC:7898,"Meta path:['GTG'], rank is 125 and total rank is 315"
122,G:HGNC:25648,G:HGNC:13347,"Meta path:['GTG'], rank is 125 and total rank is 361"
123,G:HGNC:9182,G:HGNC:17679,"Meta path:['GTG'], rank is 285 and total rank is 437"
124,G:HGNC:10847,G:HGNC:11914,"Meta path:['GTG'], rank is 184 and total rank is 396"
125,G:HGNC:26714,G:HGNC:26272,"Meta path:['GTG'], rank is 97 and total rank is 333"
126,G:HGNC:29219,G:HGNC:21024,"Meta path:['GTG'], rank is 120 and total rank is 427"
127,G:HGNC:377,G:HGNC:962,"Meta path:['GTG'], rank is 98 and total rank is 370"
128,G:HGNC:17257,G:HGNC:5424,"Meta path:['GMG'], rank is 6 and total rank is 235"
129,G:HGNC:20790,G:HGNC:25724,"Meta path:['GTG'], rank is 99 and total rank is 303"
130,G:HGNC:28749,G:HGNC:20040,"Meta path:['GMDpDMG'], rank is 3071 and total rank is 4810"
131,G:HGNC:44,G:HGNC:16836,"Meta path:['GTG'], rank is 172 and total rank is 418"
132,G:HGNC:636,G:HGNC:10430,"Meta path:['GTG'], rank is 417 and total rank is 530"
133,G:HGNC:21605,G:HGNC:23293,"Meta path:['GTG'], rank is 88 and total rank is 479"
134,G:HGNC:7996,G:HGNC:23927,"Meta path:['GTG'], rank is 257 and total rank is 696"
135,G:HGNC:12336,G:HGNC:28185,"Meta path:['GTG'], rank is 41 and total rank is 390"
136,G:HGNC:9498,G:HGNC:26877,"Meta path:['GDpDG'], rank is 434 and total rank is 510"
137,G:HGNC:6375,G:HGNC:3043,"Meta path:['GTG'], rank is 209 and total rank is 424"
138,G:HGNC:11805,G:HGNC:6011,"Meta path:['GTG'], rank is 504 and total rank is 572"
139,G:HGNC:6807,G:HGNC:11532,"Meta path:['GTG'], rank is 89 and total rank is 322"
140,G:HGNC:37165,G:HGNC:8568,"Meta path:['GTG'], rank is 405 and total rank is 525"
141,G:HGNC:21221,G:HGNC:10492,"Meta path:['GMDMG'], rank is 1485 and total rank is 2316"
142,G:HGNC:16611,G:HGNC:4199,"Meta path:['GTG'], rank is 162 and total rank is 350"
143,G:HGNC:21480,G:HGNC:28508,"Meta path:['GTG'], rank is 90 and total rank is 333"
144,G:HGNC:30076,G:HGNC:37227,"Meta path:['GTG'], rank is 107 and total rank is 337"
145,G:HGNC:25858,G:HGNC:271,"Meta path:['GTG'], rank is 291 and total rank is 464"
146,G:HGNC:26643,G:HGNC:23723,"Meta path:['GMG'], rank is 993 and total rank is 1204"
147,G:HGNC:25973,G:HGNC:28867,"Meta path:['GTG'], rank is 219 and total rank is 426"
148,G:HGNC:24709,G:HGNC:18105,"Meta path:['GMDMG'], rank is 2113 and total rank is 2837"
