,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
0,G:HGNC:9402,G:HGNC:8591,['GPdPG'],3.0,0.932,44.0
1,G:HGNC:9402,G:HGNC:8591,['GTG'],48.0,0.931,696.0
2,G:HGNC:9402,G:HGNC:8591,"['GPdPG', 'GTG']",83.0,0.81,436.0
3,G:HGNC:9322,G:HGNC:15566,['GTG'],49.0,0.913,566.0
4,G:HGNC:854,G:HGNC:16832,['GTG'],9.0,0.98,461.0
5,G:HGNC:854,G:HGNC:16832,['GMG'],657.0,0.285,919.0
6,G:HGNC:854,G:HGNC:16832,['GMDMG'],1812.0,0.67,5484.0
7,G:HGNC:854,G:HGNC:16832,['GMDpDMG'],2668.0,0.58,6346.0
8,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG']",164.0,0.954,3579.0
9,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG']",8.0,0.999,13414.0
10,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDpDMG']",5.0,1.0,11861.0
11,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG']",2408.0,0.698,7972.0
12,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDpDMG']",2271.0,0.692,7374.0
13,G:HGNC:854,G:HGNC:16832,"['GMDMG', 'GMDpDMG']",3798.0,0.71,13098.0
14,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG']",163.0,0.977,7059.0
15,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDpDMG']",171.0,0.974,6666.0
16,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMDMG', 'GMDpDMG']",19.0,0.999,14098.0
17,G:HGNC:854,G:HGNC:16832,"['GMG', 'GMDMG', 'GMDpDMG']",2274.0,0.708,7783.0
18,G:HGNC:854,G:HGNC:16832,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",279.0,0.959,6728.0
19,G:HGNC:17927,G:HGNC:28407,['GTG'],15.0,0.964,419.0
